NCT Number,Study Title,Brief Summary,Conditions
NCT06186531,PhytoSERM for Menopausal Hot Flashes and Sustained Brain Health,"This is a proof-of-concept phase 2 clinical trial to investigate the effect of the phytoestrogenic supplement PhytoSERM on vasomotor symptoms and other symptoms associated with the menopausal transition, and on blood-based biomarkers in peri- and postmenopausal women.After the screening period, participants will be randomized to PhytoSERM 50 mg pills (administered orally, once per day) or matching placebo, 1:1 allocation, for a period of 12 weeks. After 12 weeks, all participants in the placebo group will be crossed-over to receive PhytoSERM pills for the remainder of the study (open-label phase).",Menopause|Hot Flashes
NCT06858631,IMPact of AerobiC Exercise in Addition to Nutritional Treatment on Quality of Life After Pancreatectomy,"The goal of this interventional study is to assess the impact of a 6-month unsupervised aerobic exercise program on the quality of life of patients undergoing partial or total pancreatectomy. The main question it aims to answer is:Does an aerobic exercise program improve physical functioning and overall quality of life in post-pancreatectomy patients?Eligible participants will be assigned to either an exercise group or a control group. Quality of life will be evaluated using standardized scoring scales, with a focus on physical functioning. Secondary outcomes include changes in metabolic parameters (glycemia, HbA1c, lipid profile), BMI, and overall survival.",Pancreatic Tumors|Diabetes|Malabsorption
NCT02477527,Atripla to Stribild Switch Study to Evaluate Sleep Disturbances,Switch patients from Atripla to Stribild will be evaluated to see if patients have less sleep disturbances.,HIV|AIDS|Sleep Disorders
NCT04112927,Acoustic OSA Prediction During Wakefulness and Monitoring During Sleep,"The purpose of this study is to investigate the feasibility of sound analysis for: a) sleep apnea detection both during wakefulness and sleep, and b) flow-sound relationship during both wakefulness and sleep in patients and control individuals. The ultimate goal of our research is to simplify the current assessments for sleep apnea detection so that it is more convenient for patients and also much faster than the current techniques.",Obstructive Sleep Apnea
NCT06501027,"Mindfulness-Based Self-Compassion and Vagal Nerve Stimulation on Heart Rate Variability, Psychological Resilience, and Sleep Quality","This study was conducted to determine the effects of a mindfulness-based self-compassion intervention and vagal nerve stimulation on heart rate variability, psychological resilience, and sleep quality in earthquake victims.Design: ""The study was designed as a randomized experimental research, where pre- and post-intervention measurements were administered to Intervention I and Intervention II groups.""",Heart Rate Variability|Psychological Resilience|Sleep Quality
NCT01928173,Self-Help Video for Insomnia in College Students,"The purpose of this study is to test the effectiveness of a 1-session abbreviated cognitive-behavior therapy for insomnia among college students. The investigators will examine the following hypotheses in the present study: 1) Viewing the treatment video will produce an increment in sleep knowledge relative to baseline and minimum treatment control; and 2) Viewing the treatment video will result in improved sleep relative to baseline and minimum treatment control.Students who self-identify as having insomnia will be recruited from the University of Alabama's Psychology subject pool. Students who enroll in the study will receive a link to the demographic and screening questionnaire. Individuals who have a history of other sleep disorders or who currently present with symptoms strongly suggestive of sleep disorders, such as obstructive sleep apnea or narcolepsy will be excluded. Individuals who are shift-workers and those with a history of severe mental illness will also be excluded.Participants who meet criteria for this study will then be directed to complete a measure of sleep knowledge. Once they have completed the measure of sleep knowledge, they will be directed to complete the Consensus Sleep Diary (CSD) for 14 days as soon as possible after awakening in the morning. During the second week of completing the CSD, participants will be directed to complete the Insomnia Severity Index and the Patient-Reported Outcomes Measurement Information System Sleep Disturbance and Sleep-Related Impairments Short Forms on the last day they complete a CSD.Participants will be randomized to a treatment group or a minimum treatment control group upon completion of these baseline measures. Those in the treatment group will be emailed the following components of the insomnia treatment: a link to the treatment video, an mp3 file with a relaxation recording, and a pdf file of a brochure reviewing the information presented in the treatment video. Participants will be asked to view the treatment video and begin practicing the relaxation technique presented in the mp3 file as soon as possible. Participants in the minimum treatment control group will receive a link to a sleep education video.Two weeks after participants have viewed the videos, they will be asked to complete post-treatment measures in the same sequence as they did at baseline. One month after the post-treatment measures have been completed, both groups will be asked to complete the same measures again for follow-up.",Sleep Initiation and Maintenance Disorders
NCT06079073,The Effect of Orofacial Myofunctional Therapy With Autofeedback on Obstructive Sleep Apnea,"The overall aim of this study is to estimate the effect of orofacial myofunctional therapy (OMT) plus auto-monitoring compared to auto-monitoring alone. Moreover, the investigators aim to identify anatomical and behavioural predictors of OMT adherence","Sleep Apnea, Obstructive"
NCT06957873,Craniovertebral Angle and Fibromyalgia Severity,Forward Head Posture Frequency in Fibromyalgia Patients Assessed by Craniovertebral Angle: Association with Symptom Severity. Forward head posture is more common in patients with fibromyalgia and is a factor that increases symptom severity.,Craniovertebral Angle|Fibromyalgia Syndrome
NCT04144231,Cognitive Behavioral Therapy for Insomnia (CBT-I) in Schizophrenia(SLEEPINS),"Sleep problems are pervasive in people with schizophrenia. In our study, our goal is to determine whether we can alleviate sleep symptoms and improve quality of life and well-being in patients with major psychiatric disorders through cognitive behavioral therapy (CBT) delivered via the internet or in groups.At the same time, the study provides information on factors that are commonly associated with sleep and well-being in patients. The intervention study is conducted as a Randomized Controlled Clinical Trial (RCT), in which subjects are randomized into three groups: 1) Treatment as usual (TAU), 2) TAU and Internet-based therapy for insomnia (ICBT-I), and 3) TAU and group therapy for insomnia (GCBT-I).",Insomnia|Schizophrenia|Schizoaffective Disorder
NCT05844631,The Effects of the GOLO for Life® Plan and Release Supplement on Weight Management in Overweight and Obese Adults,"The objective of this study is to investigate the efficacy and safety of the GOLO for Life® Plan (G4LP) and Release supplementation on weight loss, body composition, and cardiometabolic parameters in overweight and obese adults. The change from baseline at Days 90 and 180 following the G4LP and supplementation with Release in weight (kg and % of total weight) and fat mass (percent and kg) will be assessed by Dual X-Ray Absorptiometry (DEXA). The weekly change in weight (kilograms and percent change) will also be assessed from baseline to day 180 following the G4LP and Release supplementation. Additionally, the safety and tolerability of the G4LP and Release supplementation will be measured by the occurrence of and/or changes in pre-emergent and post-emergent adverse events (AEs).",Obese|Overweight
NCT05764031,Clinical Pilates and Aerobic Exercise in Menopause,"To the best of our knowledge, there is no study in the literature that examined the effects of clinical Pilates training on vasomotor symptoms, quality of life, depression, and sleep problems versus aerobic exercises in menopausal women. This study aimed to investigate the effects of clinical Pilates training and aerobic exercises on menopausal symptoms, depression and quality of life and sleep quality in menopausal women.",Menopause
NCT06360731,The Effect of 4-7-8 Breathing Exercise Technique on Tinnitus,"The goal of this study is to evaluate the effect of 4-7-8 breathing exercise on tinnitus handicap, psychological factors and sleep quality.There will be a parallel-group randomized controlled trial study and consists of two groups.Both groups will receive 1 hour of informative session on tinnitus and the experimental group will also perform 4-7-8 breathing exercises for 6 weeks. Visual analog scale, tinnitus handicap inventory, insomnia severity index, trait anxiety inventory, and perceived stress scale will be applied before and after the application.","Tinnitus, Subjective"
NCT04993482,24-hour Movement Behaviors Among Type 2 Diabetes Mellitus Patients,"A healthy lifestyle has proved beneficial health effects in managing type 2 diabetes mellitus (T2DM). Important lifestyle behaviors, i.e. sleep, sedentary time (SB), and physical activity (PA) subdivided into light physical activity (LPA) and moderate to vigorous physical activity (MVPA), have shown an impact on T2DM disease-specific characteristics (e.g. glycemic control). However, these behaviors have often been investigated separately. Therefore, a recent shift in research emphasizes the importance of considering these behaviors as part of a 24-hour day.Since T2DM patients can benefit from an optimal 24-hour composition as part of a healthy lifestyle, it may be interesting to investigate the 24-hour movement composition among these T2DM patients over time. Moreover, exploring associations with different personal determinants, environmental determinants, and cardiometabolic markers will provide meaningful insights in developing recommendations and creating an intervention.","Diabetes Mellitus, Type 2"
NCT02119182,Transforming Research and Clinical Knowledge in Traumatic Brain Injury,"The overall goal of Transforming Research and Clinical Knowledge in Traumatic Brain Injury (TRACK-TBI) study is to determine the relationships among the clinical, neuroimaging, cognitive, genetic and proteomic biomarker characteristics for the entire spectrum of TBI from concussion to coma. TRACK-TBI will validate biomarkers and outcome measures for clinical trials, advance diagnostic and prognostic models for TBI and improve clinical trial design. The Investigators are enrolling patients within 24 hours of injury who present to a TRACK-TBI site with a brain injury that meets ACRM criteria and receives a clinically indicated head CT.",Traumatic Brain Injury
NCT04210882,The Effects of Exercise on Sleep and Brain Health,"Brain health and cognitive functioning can be affected by aging. Exercise is a potentially effective method for promoting ""successful brain aging"" by improving cardiovascular fitness, brain function and possibly sleep quality. This project will measure the effects of exercise on brain health and attempt to develop a better way to track brain health, by measuring brain activity during sleep.",Aging|Sleep Disorder
NCT03256682,The Efficacy of Mobile Video Counseling for Employees With Emotional Labor,"The purpose of this study is to verify the effectiveness of mobile video counseling for workers. Subjects who can participate in the screening evaluation are assigned to one of face-to-face counseling group, mobile counseling group, and self-treatment group. The mobile counseling group and the face-to-face counseling group counseld with a total of 4 times, 50 minutes at a time, once a week, and the self-treatment group provides self-education by providing the stress education kit.","Stress, Psychological"
NCT03821831,Treating Children With Obstructive Sleep Apnea After Surgery Failure,"The aim of this study is to evaluate the potential improvement of sleep quality in children who have residual obstructive sleep apnea, using either an orthodontic intervention or continuous positive airway pressure (CPAP), versus no treatment.",Pediatric Obstructive Sleep Apnea|Pediatric Obesity
NCT06718231,TAES Alleviate Post-VATS Depression,Depression can significantly affect postoperative rehabilitation quality and increase the mortality of patients who receive video-assisted thoracoscopic surgery (VATS). This study intend to evaluate the transcutaneous electrical acupoint stimulation (TEAS) of VATS safety and the efficacy of the postoperative depression compared to a sham group.,Depression After Video-assisted Thoracoscopic Surgery
NCT05011331,The Effect of a Custom Pillow on Sleep Quality in Patients With Nonoperative Rotator Cuff Syndrome,The objective of this study is to determine if a pillow sleep aid improves sleep quality in the short term for patients who have shoulder pain from a rotator cuff injury and are being managed non-operatively.,Rotator Cuff Injuries
NCT04972773,Spinal Cord Injury Mental Health Functional Outcomes Improved by Mindfulness,"Recovery from injury is an immune function but also involves stress. Spinal cord injury (SCI) patients are one population with a difficult recovery journey. Improvements in SCI rehabilitation could benefit patient's recovery and decrease their functional limitations. Lack of independence and chronic pain contributes to a higher rate of mental health problems (48.5%) and clinical stress (25%) in SCI patients. Depression is more common among auto-immune phenotypes and depression patients have higher pro-inflammatory cytokine profiles, suggesting stress impacts the immune system and thus opposes recovery. Mindfulness meditation (MM) is one form of stress-reduction therapy, which also decreases anxiety, depression, and pain. Little research has investigated whether this extends to functional outcomes of mental health during recovery. The investigators will look at the ""functional outcomes of mental health"", including stress, pain, quality of life, quality of sleep, and outcomes of depression using validated surveys. The investigators hypothesize that MM will significantly improve functional outcomes of mental health in SCI patients during their rehabilitation in a dose-dependent fashion, compared to 'standard therapy' alone control, with effects sustained 1-month post-intervention. Patients will take surveys of their mindfulness practices and mental health functional outcomes at 0 weeks (baseline), 8 weeks (post-treatment), and 12 weeks (follow-up). MM will be delivered to a randomized sample of SCI patients via one of three MM apps for 8 weeks. Linear regression will identify if patients practicing more MM have better mental health functional outcomes in a dose-dependent manner. The findings from this study will provide evidence of sustained stress-relief and mental health functional outcomes of consumer-based MM apps, which can be applied to improve SCI rehabilitation in an accessible manner.",Spinal Cord Injuries|Mindfulness Meditation|Mental Health Wellness 1
NCT04932473,ALFAsleep: Exploring Cognitive and Biological Correlates of Sleep Quality and Their Potential Links With Alzheimer's Disease,"The main goal of this study is to perform a multimodal characterization of brain structural and functional changes, as well as changes in Alzheimer's disease (AD) biomarkers, as a function of sleep quality measures. Cross-sectional data will enable us to confirm and expand previous knowledge in a large and well-phenotyped population, while longitudinal data will allow us to test the hypothesis of the existence of a bidirectional relationship between sleep quality and AD.",Cognitively Unimpaied
NCT00375531,Use of Mindfulness Meditation With Iraqi/Afghanistan War Veterans,"Objectives: The primary objective of this study is to conduct a randomized pilot study on the efficacy of Mindfulness Meditation (MfM) on sleep in post war Iraqi/Afghanistan veterans with PTSD. It is hypothesized that the change in sleep (measured by actigraphy), sleep self report measures, and PTSD symptoms (measured by the PTSD Checklist) from baseline, 8 weeks and 12 weeks will be greater for veterans with PTSD who are treated with MfM, controlling for pretreatment values and other clinical and demographic factors.A secondary objective will investigate whether there is an improvement in psychological wellness (measured by optimism, perceived wellness, and spirituality) following MfM treatments.It is hypothesized that change in optimism, perceived wellness, and spirituality from baseline, 8 weeks and 12 weeks will improve in veterans with PTSD who are treated with MfM, controlling for pretreatment values and other clinical and demographic factors. Physiological measures of actigraphy in the home will be done at baseline, eight weeks, and twelve weeks. Subjective measure of sleep include measurements of sleep and quality of life(FOSQ) and subjective sleep quality (PSQI). Other self-report measures that will examine psychological wellness include the Life Orientation Test (LOT), the Perceived Wellness Survey (PWS) and the Spirituality Assessment Scale (SAS).",PTSD|Stress
NCT01710631,Twelve Month Study of the Safety of Eszopiclone in Adult Subjects With Insomnia,A six-month study to determine the safety and efficacy with an additional open-label extension to determine the long-term safety of eszopiclone in the treatment of adult subjects with primary insomnia.,Primary Insomnia
NCT06368531,Long-term Monitoring of Sleep with Ear-EEG in Patients with Chronic Pain,"Insomnia is reported by more than 50% of patients with chronic pain. In this study, the investigators aim to advance the understanding of physiological sleep in individuals with chronic pain. To do this the investigators will monitor at-home sleep with an ear-EEG over 20 nights in patients with chronic pain and collect self-reported measures of sleep and pain. The collected data will be used to explore and characterize intra-individual variations in sleep metrics (e.g. total sleep time, time in each sleep stage (N1, N2, N3, REM), sleep latency, REM stage latency, wake after sleep onset, sleep efficiency, number of arousals and arousal index) over 20 nights.",Chronic Pain|Insomnia
NCT04049331,Testosterone Replacement in Male Cancer Survivors With Fatigue and Low Testosterone,"The overall goal of this study is to evaluate the effect of a testosterone drug called Depo-Testosterone (or 'testosterone cypionate'), an FDA-approved drug for improving fatigue, sexual function, quality of life, body composition, muscle strength, and physical activity in young cancer survivors who report fatigue and have low testosterone. Main hypothesis is that Testosterone administration in young male cancer survivors who are in remission for at least 1 year, report cancer-related fatigue and have symptomatic testosterone deficiency will be associated with greater improvements in fatigue scores compared with placebo.","Hypogonadism, Male|Fatigue Syndrome, Chronic"
NCT04199182,Exercise Training to Improve PTSD Symptoms and Health in Older Veterans,"Posttraumatic stress disorder (PTSD) is prevalent among military Veterans and is more than just a psychological condition; PTSD has profound negative impacts on health, function, and quality of life. Older Veterans are the largest patient population served by the Veterans Health Administration (VHA), and many have lived with PTSD for 40+ years. Veterans with PTSD engage in low levels of physical activity and spend much of their time in sedentary activities, adding to their risk of physical disability. The benefits of exercise on mental health and physical well-being in older adults are well-substantiated, but the effects of exercise training on late-life PTSD symptoms is a new area of study. This study is designed to examine the effects of 6 months of supervised exercise training on PTSD symptoms and PTSD-related conditions (e.g., functional impairment, sleep) in 188 older Veterans with PTSD.",Post-traumatic Stress Disorder
NCT06472882,Impact of Transcranial Direct Current Stimulation on the Capacity to Perform Burpees,"Introduction and Background:Transcranial direct current stimulation (tDCS) has emerged as a potential intervention to improve physical performance. The primary aim of this study is to investigate the effects of tDCS applied to the primary motor cortex (M1) and dorsolateral prefrontal cortex (DLPFC) on performance in a maximal effort task, specifically the No Jump Burpee exercise.Study Design:This study will utilize a double-blind crossover design, where each subject will complete three experimental conditions: a-DLPFC, a-M1, and SHAM.Participants:Twenty healthy male subjects will be recruited for the study.Intervention:Each participant will undergo three conditions in a randomized order:a-DLPFC: tDCS applied to the dorsolateral prefrontal cortex.a-M1: tDCS applied to the primary motor cortex. SHAM: Placebo stimulation.Procedure:Prior to performing the No Jump Burpee exercise to exhaustion, tDCS will be administered at a current of 2 milliampere (mA) for 20 minutes.Measurements:The following variables will be measured during the exercise:Total number of repetitions of the No Jump Burpee exercise. Vastus lateralis muscle oxygen saturation. Heart rate. Subjective perception of exertion (RPE).Data Analysis:Repeated measures ANOVAs will be used to analyze the effects of the different tDCS conditions on the performance outcomes.Ethical Considerations:The study protocol will be reviewed and approved by an appropriate ethics committee. Written informed consent will be obtained from all participants before participation in the study.Objectives:The primary objective is to evaluate the impact of tDCS on physical performance, specifically measuring the total number of repetitions of the No Jump Burpee exercise. Secondary objectives include assessing the changes in muscle oxygen saturation, heart rate, and subjective perception of exertion.",Transcranial Direct Current Stimulation|Dorsolateral Prefrontal Cortex|Primary Motor Cortex
NCT01128582,Effect of Rozerem on the Perception of GERD Symptoms in Patients With Chronic Insomnia.,To determine if administration of Rozerem in comparison to a placebo reduces or eliminates gastroesophageal reflux disease(GERD) symptoms in individuals with both GERD and chronic insomnia.,Gastroesophageal Reflux Disease|Chronic Insomnia
